EDDE,ERF,Erfurt Weimar Airport,50.979809,10.9581,9409
EDDF,FRA,Frankfurt Airport,50.033066,8.544944,818695
EDDG,FMO,Munster Osnabruck International  Airport,52.13464,7.684831,27222
EDDH,HAM,Hamburg Airport,53.630379,9.988228,253260
EDDK,CGN,Cologne Bonn Airport,50.866001,7.143,234401
EDDL,DUS,Dusseldorf International Airport,51.289452,6.766775,367906
EDDM,MUC,Munich Airport,48.353779,11.78608,656376
EDDN,NUE,Nuremberg Airport,49.498699,11.06689,80595
EDDP,LEJ,Leipzig Halle Airport,51.432442,12.24163,114743
EDDR,SCN,Saarbrucken Airport,49.21455,7.109508,13711
EDDS,STR,Stuttgart Airport,48.689869,9.221964,197831
EDDT,TXL,Berlin Tegel Airport,52.560001,13.288,309696
EDDV,HAJ,Hannover Langenhagen Airport,52.461048,9.685078,101710
EDDW,BRE,Bremen Airport,53.047501,8.786667,54510
EDFH,HHN,Frankfurt Hahn Airport,49.948669,7.263892,36374
EDFM,MHG,Mannheim City Airport,49.472698,8.514264,16593
EDGS,SGE,Siegen Siegerland Airport,50.707699,8.08297,9799
EDHI,XFW,Hamburg Finkenwerder Airport,53.529999,9.83,15066
EDHK,KEL,Kiel Airport,54.379501,10.14516,6670
EDHL,LBC,Lubeck Airport,53.805359,10.71922,5563
EDHN,EUM,Neumunster Airport,54.079445,9.941389,1382
EDJA,FMM,Memmingen Airport,47.988609,10.239444,24680
EDKA,AAH,Aachen Merzbruck Airport,50.823051,6.186111,1298
EDLE,ESS,Essen Mulheim Airport,51.402328,6.937333,8879
EDLI,BFE,Bielefeld Airport,51.964722,8.544444,1881
EDLN,MGL,Dusseldorf Monchengladbach Airport,51.23035,6.504494,12492
EDLP,PAD,Paderborn Lippstadt Airport,51.614079,8.616317,13411
EDLV,NRN,Weeze Airport,51.602409,6.142172,24254
EDLW,DTM,Dortmund Airport,51.518311,7.612242,37325
EDMA,AGB,Augsburg Airport,48.425152,10.93176,16839
EDMO,OBF,Oberpfaffenhofen Airport,48.08136,11.28306,16862
EDMS,RBM,Straubing Wallmuehle Airport,48.900833,12.516667,2228
EDNY,FDH,Friedrichshafen Airport,47.67131,9.511486,20199
EDOP,SZW,Schwerin Parchim International Airport,53.426991,11.78343,359
EDQG,GHF,Giebelstadt Airport,49.648056,9.966389,3224
EDQM,HOQ,Hof Plauen Airport,50.28883,11.85491,4512
EDRZ,ZQW,Zweibrucken Airport,49.209518,7.400647,2301
EDSB,FKB,Karlsruhe/Baden-Baden Airport,48.77935,8.0805,25775
EDTL,LHA,Lahr Black Forest Airport,48.369301,7.82772,5576
EDVE,BWE,Braunschweig Airport,52.31916,10.55611,10446
EDVK,KSF,Kassel Calden Airport,51.420834,9.392222,4511
EDVM,ZNO,Hildesheim Airport,52.18111,9.946944,1303
EDWE,EME,Emden Airport,53.391178,7.227408,16718
EDWG,AGE,Wangerooge Airport,53.783001,7.917,7095
EDWI,WVN,Wilhelmshaven JadeWeser Airport,53.504829,8.053333,15421
EDWJ,JUI,Juist Airport,53.68111,7.056389,2458
EDWL,LGO,Langeoog Airport,53.7425,7.497778,1948
EDWR,BMK,Borkum Airport,53.595501,6.709167,9497
EDWS,NOD,Norden Norddeich Airport,53.633057,7.190278,1166
EDWU,VAC,Varrelbusch Airport,52.908333,8.040556,755
EDWY,NRD,Norderney Airport,53.706821,7.230247,2566
EDWZ,BMR,Baltrum Airport,53.724724,7.373333,651
EDXB,HEI,Heide Buesum Airport,54.154999,8.903333,6367
EDXF,FLF,Flensburg Schaferhaus Airport,54.773335,9.378889,2240
EDXH,HGL,Heligoland Airport,54.185268,7.915833,5618
